SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
4383,1162066500,서림동,하늘유치원,서울특별시 관악구 신림2동 1694,02-871-8508,151-012,37.474996000913286,126.93249700000536,POINT (126.9324970000054 37.47499600091329)
3320,1135064000,상계2동,학림유치원,서울특별시 노원구 상계2동 363-2,02-932-1412,139-816,37.65774800091149,127.06457099999757,POINT (127.0645709999976 37.65774800091149)
3321,1135061200,하계2동,학여울유치원,서울특별시 노원구 하계2동 354,02-975-6611,139-873,37.63609000091162,127.061533999996,POINT (127.061533999996 37.63609000091162)
3781,1120064500,옥수동,옥수보성유치원,서울특별시 성동구 옥수동 428,02-2297-0432,133-100,37.543172000911625,127.01148399999606,POINT (127.0114839999961 37.54317200091162)
3807,1120064500,옥수동,옥수삼성유치원,서울특별시 성동구 옥수2동 삼성아파트 250,02-2293-5656,133-758,37.540930000911665,127.01378800000484,POINT (127.0137880000048 37.54093000091166)
3701,1111051500,청운효자동,옥인유치원,서울특별시 종로구 옥인동 18,02-735-3984,110-035,37.58217700091597,126.97031100000511,POINT (126.9703110000051 37.58217700091597)
3791,1171056600,오륜동,올림픽유치원,서울특별시 송파구 오륜동 89-19,02-400-2440,138-151,37.513112000911825,127.13048200000219,POINT (127.1304820000022 37.51311200091182)
3741,1120053500,왕십리도선동,왕십리유치원,서울특별시 성동구 상왕십리동 149,02-2292-3524,133-010,37.5682210009078,127.02446500000451,POINT (127.0244650000045 37.5682210009078)
3182,1159067000,신대방제1동,요요유치원,서울특별시 동작구 신대방1동 707,02-836-6710,156-011,37.4945790009108,126.9120890000049,POINT (126.9120890000049 37.4945790009108)
4310,1150063000,방화제1동,우람유치원,서울특별시 강서구 방화동 875,02-2667-0645,157-220,37.57445600091514,126.8147820000051,POINT (126.8147820000051 37.57445600091514)
3921,1150060300,가양제1동,우리곰유치원,서울특별시 강서구 가양1동 한강타운아파트 1460번지,02-2659-3323,157-752,37.57127800091621,126.84500000000541,POINT (126.8450000000054 37.57127800091621)
3805,1129081000,석관동,우석유치원,서울특별시 성북구 석관1동 58-288,02-968-7970,136-815,37.60685600091682,127.06324899999976,POINT (127.0632489999998 37.60685600091682)
4311,1156065000,신길제3동,우성유치원,서울특별시 영등포구 신길3동 365,02-847-2525,150-053,37.505224000910225,126.8998099999978,POINT (126.8998099999978 37.50522400091022)
4314,1171052000,풍납2동,우일유치원,서울특별시 송파구 풍납2동 한강극동아파트 508,02-475-2011,138-784,37.52914000090736,127.113346999997,POINT (127.113346999997 37.52914000090736)
4313,1150055000,화곡제2동,우일유치원,서울특별시 강서구 화곡2동 463-6,02-2602-4026,157-012,37.53513000091123,126.85533399999926,POINT (126.8553339999993 37.53513000091123)
4315,1165052000,서초2동,우정유치원,서울특별시 서초구 서초1동 1324-14,02-580-8347,137-070,37.49341600090742,127.02333500000314,POINT (127.0233350000031 37.49341600090742)
3987,1129059000,돈암제2동,우촌유치원,서울특별시 성북구 돈암2동 609,02-922-2344,136-062,37.59565000091236,127.01169600000308,POINT (127.0116960000031 37.59565000091236)
3776,1130561500,수유1동,운산유치원,서울특별시 강북구 수유1동 52-21,02-982-4622,142-874,37.6320180009084,127.02168299999654,POINT (127.0216829999965 37.6320180009084)
