,이름,종목,구,동,X좌표,Y좌표,건축면적(m^2),연면적(m^2)
24,관악정,국궁장,관악구,삼성동,126.933811,37.458591999999996,136,168
25,관악구민테니스장,테니스장,관악구,낙성대동,126.95715600000001,37.475658,,
26,관악구민체육센터골프연습장,골프연습장,관악구,낙성대동,126.960517,37.473116999999995,1924,6985
27,대현산체육관,실내체육관,성동구,행당동,127.030294,37.554229,832,1090
28,독산테니스장,테니스장,금천구,독산3동,126.90696100000001,37.474433000000005,,
29,동작구민체육센터수영장,수영장,동작구,신대방동,126.91658799999999,37.494842,2597,8650
30,뚝섬서울숲테니스장,테니스장,성동구,성수1가1동,127.040196,37.546625,,2665
31,뚝섬유수지체육공원축구장,축구장,성동구,성수동,127.041582,37.54963,21700,
32,마곡레포츠센터수영장,수영장,강서구,마곡동,126.832284,37.573188,,
33,마곡실내배드민턴장,실내체육관,강서구,마곡동,126.831259,37.573260999999995,2526,2854
34,반포종합운동장축구장,축구장,서초구,반포2동,126.994165,37.500752,,
35,반포종합운동장체육센터골프연습장,골프연습장,서초구,반포동,126.9944,37.499492,766,1501
36,반포종합운동장체육센터,생활체육관,서초구,반포동,126.994212,37.499441,766,1501
37,반포종합운동장인라인스케이트장,롤러스케이트장,서초구,반포동,126.99426000000001,37.500285,,
38,반포종합운동장게이트볼장,게이트볼장,서초구,반포동,126.99218700000002,37.500215000000004,,900
39,문래청소년수련관체육관,생활체육관,영등포구,문래동,126.89410900000001,37.518884,2314,4306
40,문래청소년수련관수영장,수영장,영등포구,문래동,126.89388600000001,37.51896,5610,4306
41,묵동다목적체육관,실내체육관,중랑구,묵동,127.08417299999999,37.614499,2021,2021
42,목동문화체육센터,생활체육관,양천구,목동,126.8691,37.542775,1062,3059
43,면목2동체육관,생활체육관,중랑구,면목2동,127.08106799999999,37.587946,1731,1731
44,망원동테니스장,테니스장,마포구,망원동,126.89843799999998,37.554517,4260,4260
45,망우청소년수련관수영장,수영장,중랑구,망우본동,127.10903,37.606396000000004,1313,5084
46,망우청소년수련관,생활체육관,중랑구,망우본동,127.10880800000001,37.6063,1313,5084
47,마포청소년수련관체육관,생활체육관,마포구,성산동,126.902147,37.566002000000005,1113.5,5209
48,마포주민체육시설골프연습장,골프연습장,마포구,상암동,126.89536100000001,37.576679,716,4708
49,시민의숲테니스장,테니스장,서초구,양재동,127.03699499999999,37.47312,,7863
50,시립창동게이트볼장,게이트볼장,도봉구,창4동,127.050427,37.657234,,4541
51,수서청소년수련관체육관,생활체육관,강남구,수서동,127.08864399999999,37.483592,2095,6391
52,수서청소년수련관수영장,수영장,강남구,수서동,127.089074,37.483675,2095,6391
53,마포아트센터체육관,생활체육관,마포구,용강동,126.945528,37.549904,4236,19261
54,마곡레포츠센터,생활체육관,강서구,마곡동,126.83214299999999,37.573119,1142,4079
55,뚝섬승마장,승마장,성동구,성수1가1동,127.03846499999999,37.546701,1960,2318
56,동작주차공원테니스장,테니스장,동작구,동작동,126.978357,37.502849,148,148
57,동대문구민체육센터,생활체육관,동대문구,장안동,127.073425,37.56657,977,5157
58,도봉실내수영장,수영장,도봉구,도봉2동,127.050023,37.684290999999995,830,1088
59,독산근린공원잔디축구장,축구장,금천구,독산동,126.88424199999999,37.463536,,
60,신길종합복지관수영장,수영장,영등포구,신길동,126.921415,37.511194,6287,6287
61,신동교육문화회관수영장,수영장,서초구,잠원동,127.012417,37.516354,1095,3902
62,신림체육센터수영장,수영장,관악구,미성동,126.91605600000001,37.479997999999995,973,1978
63,신월문화체육센터수영장,수영장,양천구,신월동,126.834877,37.519846,839,3144
64,아차산배수지인조잔디축구장,축구장,광진구,구의동,127.09681100000002,37.548764,,
