,도서관명,위도,경도,시군구명,소재지도로명주소,운영기관명,동
3183,자양2동새마을작은도서관,,,광진구,서울특별시 광진구 자양로3가길 26(자양동),,자양로3가길
3184,자양3동새마을작은도서관,,,광진구,서울특별시 광진구 뚝섬로 568(자양동),,뚝섬로
3185,자양4동새마을작은도서관,,,광진구,서울특별시 광진구 아차산로24길 17(자양동),,아차산로24길
3186,화양동새마을작은도서관,,,광진구,서울특별시 광진구 능동로17길 39(화양동),,능동로17길
3187,군자동새마을작은도서관,,,광진구,서울특별시 광진구 군자로 151(군자동),,군자로
3188,자양전통시장작은도서관,,,광진구,서울특별시 광진구 뚝섬로47길 45-2(자양동),,뚝섬로47길
3189,날마다자라는나무,,,광진구,서울특별시 광진구 자양번영로4길 8(자양동),,자양번영로4길
3190,새빛작은도서관,,,광진구,서울특별시 광진구 아차산로46가길 23(자양동),,아차산로46가길
3191,예드림문고,,,광진구,서울특별시 광진구 구의로61(구의동),,주의!!서울특별시 광진구 구의로61(구의동)
3192,평강마을도서관,,,광진구,서울특별시 광진구 자양번영로4길 13(자양동),,자양번영로4길
3193,푸른꿈도서관,,,광진구,서울특별시 광진구 자양로32길 53(구의동),,자양로32길
3194,광장현대파크빌도서관,,,광진구,서울특별시 광진구 아차산로 549(광장동),,아차산로
3195,중곡교회작은도서관,,,광진구,서울특별시 광진구 긴고랑로36길 56(중곡동),,긴고랑로36길
3196,아름드리작은도서관,,,광진구,서울특별시 광진구 워커힐로 93(구의동),,워커힐로
3197,어린이도서관주영심나무,,,광진구,서울특별시 광진구 용마산로1길91(중곡동),,주의!!서울특별시 광진구 용마산로1길91(중곡동)
3198,아차산아래작은도서관놀자,,,광진구,서울특별시 광진구 자양로50가길 45(구의동),,자양로50가길
3199,하람도서관,,,광진구,서울특별시 광진구 용마산로 16길 18(중곡동),,용마산로
3200,운룡도서관,,,광진구,서울특별시 광진구 자양로43길 85(중곡동),,자양로43길
3201,더바움지식문화작은도서관,,,광진구,서울특별시 광진구 구의로 39(구의동),,구의로
3202,성신비전스쿨도서관,,,광진구,서울특별시 광진구 동일로 160(화양동),,동일로
3203,이룸도서관,,,광진구,서울특별시 광진구 용마산로 49(중곡동),,용마산로
3204,배움의기쁨작은도서관,,,광진구,서울특별시 광진구 아차산로44길 29(자양동),,아차산로44길
3205,샘터작은도서관,,,광진구,서울특별시 광진구 용마산로24길 10(중곡동),,용마산로24길
3273,도봉어린이문화정보도서관(디지털자료실),37.659007200000005,127.0494699,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로69길 151,,도봉구
3274,"도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)",37.659007200000005,127.0494699,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로69길 151,,도봉구
3275,학마을도서관 (종합자료실),37.6621078,127.0278197,서울특별시 도봉구,서울특별시 도봉구 도봉구 시루봉로 128,,도봉구
3276,학마을도서관 (어린이 자료실),37.66211,127.02781999999999,서울특별시 도봉구,서울특별시 도봉구 도봉구 시루봉로 128,,도봉구
3277,방학동영유아플라자,37.66323,127.03033,서울특별시 도봉구,서울특별시 도봉구 도봉구 방학로 12길 28 (방학동),,도봉구
3278,창동영유아플라자,37.63351,127.0411,서울특별시 도봉구,서울특별시 도봉구 도봉구 우이천로4길 24-5 (창동),,도봉구
3279,무수골 도서관,37.682958899999996,127.0428608,서울특별시 도봉구,서울특별시 도봉구 도봉구 도봉로175길 10,,도봉구
3280,방학1동 공립 작은도서관,37.6641869,127.04063670000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 방학로2길 27,,도봉구
3281,방학2동 공립 작은도서관,37.668177,127.0350425,서울특별시 도봉구,서울특별시 도봉구 도봉구 시루봉로 226,,도봉구
3282,방학3동 공립 작은도서관,37.659890000000004,127.02382,서울특별시 도봉구,서울특별시 도봉구 도봉구 해등로32길 80,,도봉구
3283,도봉1동 공립 작은도서관,37.678670399999994,127.04335690000002,서울특별시 도봉구,서울특별시 도봉구 도봉구 도봉로169 나길 22,,도봉구
3284,도봉2동 공립 작은도서관,37.6696229,127.0465415,서울특별시 도봉구,서울특별시 도봉구 도봉구 마들로 668,,도봉구
3285,쌍문1동 공립 작은도서관,37.6479992,127.02603640000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로 147,,도봉구
3286,쌍문2동 공립 작은도서관,37.6580211,127.03875079999999,서울특별시 도봉구,서울특별시 도봉구 도봉구 방학로3길 117,,도봉구
3287,쌍문3동 공립 작은도서관,37.648943700000004,127.02790859999999,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로44길 9,,도봉구
3288,쌍문4동 공립 작은도서관,37.6564188,127.02836880000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 시루봉로 62-7,,도봉구
3289,창1동 공립 작은도서관,37.64833,127.04378,서울특별시 도봉구,서울특별시 도봉구 도봉구 해등로 46,,도봉구
3290,창2동 공립 작은도서관,37.6413898,127.0356396,서울특별시 도봉구,서울특별시 도봉구 도봉구 덕릉로 59길 73-3,,도봉구
3291,창3동 공립 작은도서관,37.63811,127.04287,서울특별시 도봉구,서울특별시 도봉구 도봉구 덕릉로62길 89,,도봉구
3292,창4동 공립 작은도서관,37.6522,127.05153999999999,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로 390,,도봉구
3293,창5동 공립 작은도서관,37.6562098,127.0434809,서울특별시 도봉구,서울특별시 도봉구 도봉구 도봉로 136 나길 20,,도봉구
3294,북서울중학교 도서관,37.6813005,127.04302390000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 도봉로169가길 33,,도봉구
3295,창북중학교 도서관,37.649470799999996,127.03857659999998,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로 62길 33,,도봉구
3296,도봉구청사 행복작은도서관,37.6686287,127.04704960000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 마들로 656,,도봉구
3297,서울특별시교육청도봉도서관(종합자료실),37.6525847,127.0129824,서울특별시 도봉구,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,도봉구
3298,서울특별시교육청도봉도서관(어린이자료실),37.652570000000004,127.0129,서울특별시 도봉구,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,도봉구
3299,서울특별시교육청도봉도서관(디지털자료실),37.6527461,127.01296629999999,서울특별시 도봉구,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,도봉구
3300,도봉문화정보도서관(종합자료실),37.64458079999999,127.04388270000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 덕릉로 315 (창동),,도봉구
3301,도봉문화정보도서관(어린이열람실),37.64458079999999,127.04388270000001,서울특별시 도봉구,서울특별시 도봉구 도봉구 덕릉로 315 (창동),,도봉구
3302,도봉어린이문화정보도서관(영 유아),37.659007200000005,127.0494699,서울특별시 도봉구,서울특별시 도봉구 도봉구 노해로69길 151,,도봉구
3303,도봉 기적의 도서관,37.6807721,127.0502436,서울특별시 도봉구,서울특별시 도봉구 도봉구 마들로 797,,도봉구
