,시설명,위도,경도,소재지도로명주소,운영기관명,관리기관명,동
117,남서울특별시미술관,,,서울특별시 관악구 남부순환로 2476,서울특별시특별시,서울특별시특별시,남부순환로
118,성북구립미술관,37.594821,126.994897,서울특별시 성북구 성북로 134,성북구,성북구,성북로
119,종로구립 박노수미술관,37.581322,126.966761,서울특별시 종로구 옥인1길 34,종로구청/종로문화재단,종로구청/종로문화재단,옥인1길
120,서울특별시과학기술대학교 미술관,,,"서울특별시 노원구 공릉로 232, 다빈치관",서울특별시과학기술대학교,서울특별시과학기술대학교,공릉로
121,서울특별시대학교 미술관,37.46642,126.949626,서울특별시 관악구 관악로 1,서울특별시대학교,서울특별시대학교,관악로
122,숙명여자대학교 문신미술관,,,서울특별시 용산구 청파로 47길 100,숙명여자대학교,숙명여자대학교,청파로
123,인덕대학교 아정미술관,,,서울특별시 노원구 초안산로 12 은봉관 1F,인덕대학교,인덕대학교,초안산로
124,한양여자대학교 미술관,,,서울특별시 성동구 살곶이길 200,한양여자대학교,한양여자대학교,살곶이길
125,(재)한원미술관,,,서울특별시 서초구 남부순환로 2423 한원빌딩 B1,하동환,하동환,남부순환로
126,63아트미술관,,,서울특별시 영등포구 63로 50,한화호텔앤드리조트,한화호텔앤드리조트,63로
127,JCC아트센터,,,서울특별시 종로구 창경궁로35길 29,(재)재능문화,(재)재능문화,창경궁로35길
128,K현대미술관,,,서울특별시 강남구 선릉로 807,김연진,김연진,선릉로
129,OCI미술관,37.573184000000005,126.98209299999999,서울특별시 종로구 우정국로 45-14,송암문화재단,송암문화재단,우정국로
130,김세중미술관,,,서울특별시 용산구 효창원로70길 35,(재)김세중기념사업회,(재)김세중기념사업회,효창원로70길
131,금호미술관,37.577462,126.979899,서울특별시 종로구 삼청로 18,금호아시아나문화재단,금호아시아나문화재단,삼청로
132,대림미술관,37.577546000000005,126.973371,서울특별시 종로구 자하문로4길 21,문화체육관광부,문화체육관광부,자하문로4길
133,밀알미술관,37.485667,127.082724,서울특별시 강남구 일원동 713,홍정길,홍정길,일원동
134,사비나미술관,37.576518,126.98456399999999,서울특별시 종로구 율곡로 49-4,문화체육관광부,문화체육관광부,율곡로
135,삼성미술관 Leeum,,,서울특별시 용산구 이태원로 55길 60-16,삼성문화재단,삼성문화재단,이태원로
136,상원미술관,37.611653000000004,126.976565,서울특별시 종로구 평창31길 27,남상교,남상교,평창31길
137,성곡미술관,37.573155,126.969761,서울특별시 종로구 경희궁길 42,성곡미술문화재단,성곡미술문화재단,경희궁길
138,"세종문화회관 미술관
(세종미술관)",,,서울특별시 종로구 세종대로 175,(재)세종문화회관,(재)세종문화회관,세종대로
139,세화미술관,,,서울특별시 종로구 새문안로 68 흥국생명빌딩 3층,세화예술문화재단,세화예술문화재단,새문안로
140,소마미술관,37.516913,127.11822,서울특별시 송파구 방이동 올림픽로 424,국민체육진흥공단,국민체육진흥공단,방이동
141,아라리오뮤지엄 인 스페이스,37.577739,126.988343,서울특별시 종로구 율곡로 83(원서동),㈜아라리오,㈜아라리오,율곡로
142,아르코미술관,37.580488,127.003203,서울특별시 종로구 동숭길 3,한국문화예술위원회,한국문화예술위원회,동숭길
143,아모레퍼시픽미술관,37.259943,127.11033400000001,서울특별시 용산구 한강대로 100,㈜아모래퍼시픽,㈜아모래퍼시픽,한강대로
144,아트선재센터,37.579489,126.981955,서울특별시 종로구 율곡로3길 87,대우재단,대우재단,율곡로3길
145,아트센터나비미술관,37.569795,126.98031499999999,서울특별시 종로구 종로26 4층,노소영,노소영,종로26
146,한가람미술관,37.480418,127.01425800000001,서울특별시 서초구 남부순환로 2406 예술의전당,예술의전당,예술의전당,남부순환로
147,한가람디자인미술관,37.479918,127.01256399999998,서울특별시 서초구 남부순환로 2406 예술의전당,예술의전당,예술의전당,남부순환로
148,예술의전당 서울특별시서예박물관,,,서울특별시 서초구 남부순환로 2406 ,예술의전당,예술의전당,남부순환로
149,유리지공예관,,,서울특별시 서초구 중앙로 555,유리지,유리지,중앙로
150,일민미술관,37.569824,126.977677,서울특별시 종로구 세종대로 152,(재)일민문화재단,(재)일민문화재단,세종대로
151,자하미술관,37.589433,126.9604,서울특별시 종로구 창의문로5가길46,자하미술관 강종권,자하미술관 강종권,주의!!서울특별시 종로구 창의문로5가길46
152,코리아나미술관,37.524051,127.032784,서울특별시 강남구 언주로 827,㈜코리아나화장품,㈜코리아나화장품,언주로
153,토탈미술관,37.611903000000005,126.97562099999999,서울특별시 종로구 평창32길 8,노준의,노준의,평창32길
154,포스코미술관,37.505831,127.05608799999999,서울특별시 강남구 대치4동 892 포스코센터 내,㈜포스코,㈜포스코,대치4동
155,학아재미술관,,,서울특별시 종로구 돈화문로 98,김로이,김로이,돈화문로
156,한미사진미술관,37.516608000000005,127.11397,"서울특별시 송파구 위례성대로 14 한미타워 19, 20층",가현문화재단,가현문화재단,위례성대로
157,헬로우뮤지움 ,37.507358,127.04031200000001,서울특별시 성동구 금호로 72,"김효정
(김이삭)","김효정
(김이삭)",금호로
158,환기미술관 ,37.594431,126.96628899999999,서울특별시 종로구 자하문로 40길 63,(재)환기재단 ,(재)환기재단 ,자하문로
