자치구,행정동코드,법정동,행정동,시설ID,시설명,주소,Latitude,Longitude,geometry
동작구,1159052000,노량진동,노량진제2동,동작1호점,동작1호점 우리동네키움센터(노량진2동),서울특별시 동작구 장승배기로 19길 50,37.5082472,126.937176,POINT (126.937176 37.5082472)
동대문구,1123066000,장안동,장안제2동,동대문2호점,동대문2호점 우리동네키움센터(라온),서울특별시 동대문구 답십리로63길 73,37.5757804,127.0688904,POINT (127.0688904 37.5757804)
동대문구,1123053600,용두동,용신동,동대문1호점,동대문1호점 우리동네키움센터(희망),서울특별시 동대문구 무학로 133,37.5760752,127.0303012,POINT (127.0303012 37.5760752)
도봉구,1132051100,창동,창제1동,도봉4호점,도봉4호점 우리동네키움센터(창1동 별별키움센터),서울특별시 도봉구 해등로 50,37.6500415,127.0436076,POINT (127.0436076 37.6500415)
도봉구,1132052200,도봉동,도봉제2동,도봉3호점,도봉3호점 우리동네키움센터(도봉2동 별별키움센터),서울특별시 도봉구 마들로 859-19,37.6857879,127.0479503,POINT (127.0479503 37.6857879)
도봉구,1132052100,도봉동,도봉제1동,도봉2호점,도봉2호점 우리동네키움센터(도봉1동 별별키움센터),서울시 도봉구 도봉로 175길 10,37.6829589,127.0428608,POINT (127.0428608 37.6829589)
노원구,1135072000,상계동,상계10동,노원9호점,노원9호점 우리동네키움센터(상계7단지아이휴센터),서울특별시 노원구 동일로 1456,37.6588121,127.0605385,POINT (127.0605385 37.6588121)
노원구,1135058000,월계동,월계3동,노원8호점,노원8호점 우리동네키움센터(월계그랑빌아이휴센터),서울특별시 노원구 마들로 31,37.6176466,127.0685939,POINT (127.0685939 37.6176466)
노원구,1135061200,하계동,하계2동,노원7호점,노원7호점 우리동네키움센터(하계극동아이휴센터),서울특별시 노원구 섬밭로 229,37.6354318,127.0644563,POINT (127.0644563 37.6354318)
노원구,1135060000,공릉동,공릉2동,노원6호점,노원6호점 우리동네키움센터(공릉태강아이휴센터),서울시 노원구 공릉로 34길 62 태강아파트,37.6235019,127.083041,POINT (127.083041 37.6235019)
노원구,1135069500,상계동,상계6.7동,노원5호점,노원5호점 우리동네키움센터(상계3단지아이휴센터),서울특별시 노원구 동일로 215길 48 (상계주공3단지아파트),37.6520258,127.0583204,POINT (127.0583204 37.6520258)
노원구,1135056000,월계동,월계1동,노원4호점,노원4호점 우리동네키움센터(달빛마실아이휴센터),서울특별시 노원구 광운로13길 9,37.6212474,127.0587561,POINT (127.0587561 37.6212474)
노원구,1135067000,상계동,상계5동,노원3호점,노원3호점 우리동네키움센터(상계5동간촌아이휴센터),서울특별시 노원구 한글비석로49길 36,37.6626284,127.0662652,POINT (127.0662652 37.6626284)
노원구,1135070000,상계동,상계8동,노원2호점,노원2호점 우리동네키움센터(상계10단지아이휴센터),서울특별시 노원구 노원로 564,37.6629991,127.05545,POINT (127.05545 37.6629991)
노원구,1135071000,상계동,상계9동,노원22호점,노원22호점 우리동네키움센터(상계보람2단지 아이휴센터),서울특별시 노원구 한글비석로 480,37.6662467,127.0649923,POINT (127.0649923 37.6662467)
노원구,1135071000,상계동,상계9동,노원21호점,노원21호점 우리동네키움센터(상계12단지 아이휴센터),서울특별시 노원구 한글비석로 530,37.6660832,127.0592794,POINT (127.0592794 37.6660832)
노원구,1135063000,상계동,상계1동,노원20호점,노원20호점 우리동네키움센터(상계두산 융합형 아이휴센터),서울특별시 노원구 동일로241길 53,37.6773709,127.0531456,POINT (127.0531456 37.6773709)
노원구,1135056000,월계동,월계1동,노원1호점,노원1호점 우리동네키움센터(월계문화아이휴센터),서울특별시 노원구 월계로42길 9,37.6220774,127.0526919,POINT (127.0526919 37.6220774)
노원구,1135062500,중계동,중계2.3동,노원19호점,노원19호점 우리동네키움센터(중계무지개 아이휴센터),서울특별시 노원구 동일로208길 19,37.6431659,127.0662365,POINT (127.0662365 37.6431659)
노원구,1135069500,상계동,상계6.7동,노원18호점,노원18호점 우리동네키움센터(상계1단지 아이휴센터),서울특별시 노원구 동일로213길 21,37.647927,127.0606824,POINT (127.0606824 37.647927)
노원구,1135069500,상계동,상계6.7동,노원17호점,노원17호점 우리동네키움센터(상계6단지 아이휴센터),서울특별시 노원구 노해로 508,37.653688,127.064743,POINT (127.064743 37.653688)
노원구,1135067000,상계동,상계5동,노원16호점,노원16호점 우리동네키움센터(상계다락 아이휴센터),서울특별시 노원구 한글비석로 426-12,37.6625271,127.0704476,POINT (127.0704476 37.6625271)
노원구,1135066500,상계동,상계3.4동,노원15호점,노원15호점 우리동네키움센터(상계동아불암 아이휴센터),서울특별시 노원구 덕릉로 780,37.6669249,127.0797349,POINT (127.0797349 37.6669249)
노원구,1135070000,상계동,상계8동,노원14호점,노원14호점 우리동네키움센터(상계15단지 아이휴센터),서울특별시 노원구 동일로227길 26,37.6686255,127.0533712,POINT (127.0533712 37.6686255)
노원구,1135057000,월계동,월계2동,노원13호점,노원13호점 우리동네키움센터(월계극동아이휴센터),서울특별시 노원구 덕릉로60길 266,37.6291463,127.0462466,POINT (127.0462466 37.6291463)
노원구,1135063000,상계동,상계1동,노원12호점,노원12호점 우리동네키움센터(은빛1단지아이휴센터),서울특별시 노원구 동일로245길 162,37.6814892,127.0537826,POINT (127.0537826 37.6814892)
노원구,1135061900,중계동,중계본동,노원11호점,노원11호점 우리동네키움센터(산마루아이휴센터),서울특별시 노원구 중계로14바길 43,37.6504206,127.0836579,POINT (127.0836579 37.6504206)
노원구,1135059500,공릉동,공릉1동,노원10호점,노원10호점 우리동네키움센터(공릉라이프아이휴센터),서울시 노원구 섬밭로 123,37.6272665,127.0685419,POINT (127.0685419 37.6272665)
구로구,1153073000,고척동,고척제2동,구로8호점,구로8호점 우리동네키움센터(고척2동),서울특별시 구로구 중앙로15길 80,37.5069054,126.8554897,POINT (126.8554897 37.5069054)
구로구,1153054000,구로동,구로제3동,구로7호점,구로7호점 융합형 우리동네키움센터,서울특별시 구로구 디지털로32가길 50,37.4813375,126.89774,POINT (126.89774 37.4813375)
구로구,1153072000,고척동,고척제1동,구로6호점,구로6호점 우리동네키움센터(고척1동),서울특별시 구로구 중앙로1길 18-19,37.498705,126.8628448,POINT (126.8628448 37.498705)
구로구,1153078000,천왕동,오류제2동,구로5호점,구로5호점 우리동네키움센터(천왕동),서울특별시 구로구 천왕로 21,37.4792388,126.8394251,POINT (126.8394251 37.4792388)
구로구,1153052000,구로동,구로제1동,구로4호점,구로4호점 우리동네키움센터(구로1동),서울특별시 구로구 구일로4길 46,37.4922564,126.8771784,POINT (126.8771784 37.4922564)
구로구,1153053000,구로동,구로제2동,구로3호점,구로3호점 우리동네키움센터(구로2동),서울특별시 구로구 벚꽃로 484,37.4973069,126.8801438,POINT (126.8801438 37.4973069)
구로구,1153056000,구로동,구로제5동,구로2호점,구로2호점 우리동네키움센터(구로5동),서울특별시 구로구 구로중앙로34길 67,37.5016568,126.8864925,POINT (126.8864925 37.5016568)
구로구,1153076000,개봉동,개봉제3동,구로1호점,구로1호점 우리동네키움센터(개봉3동),서울특별시 구로구 개봉로11나길 23,37.4885504,126.8525155,POINT (126.8525155 37.4885504)
광진구,1121583000,자양동,자양제2동,광진2호점,광진2호점 우리동네키움센터(꿈 정함),서울특별시 광진구 자양로3가길 28,37.5287746,127.0845462,POINT (127.0845462 37.5287746)
광진구,1121584000,자양동,자양제3동,광진1호점,광진1호점 우리동네키움센터,서울특별시 광진구 자양번영로 35,37.5328611,127.0752184,POINT (127.0752184 37.5328611)
강서구,1150063000,방화동,방화제1동,강서2호점,강서2호점 우리동네키움센터(방화3동),서울특별시 강서구 금낭화로 162,37.5746758,126.811399,POINT (126.811399 37.5746758)
강서구,1150051000,염창동,염창동,강서1호점,강서1호점 우리동네키움센터(염창동),서울특별시 강서구 양천로67길 93-22,37.555989,126.8718564,POINT (126.8718564 37.555989)
강동구,1174057000,암사동,암사제1동,강동1호점,강동1호점 우리동네키움센터(상상나루來키움센터),서울특별시 강동구 올림픽로98가길 28,37.5505511,127.1314297,POINT (127.1314297 37.5505511)
강남구,1168070000,자곡동,세곡동,강남4호점,강남4호점 우리동네키움센터(미미위 세곡 키움센터),서울특별시 강남구 밤고개로 231,37.4737808,127.1065697,POINT (127.1065697 37.4737808)
강남구,1168056500,청담동,청담동,강남3호점,강남3호점 우리동네키움센터(강남 다함께키움센터(청담)),서울특별시 강남구 영동대로131길 26,37.5203984,127.0541271,POINT (127.0541271 37.5203984)
강남구,1168065000,역삼동,역삼2동,강남2호점,강남2호점 우리동네키움센터(강남 다함께키움센터(역삼)),서울특별시 강남구 논현로64길 7,37.4939252,127.0408998,POINT (127.0408998 37.4939252)
강남구,1168072000,수서동,일원본동,강남1호점,강남1호점 우리동네키움센터(강남 다함께키움센터(태화)),서울특별시 강남구 광평로 185,37.4847491,127.0934205,POINT (127.0934205 37.4847491)
