,정류장명,위도,경도,표준ID,ARS-ID
212,종로1.2.3.4가동주민센터,37.574383712199996,126.99113142559999,100900217,1557
213,창덕궁,37.5760892484,126.99062001530001,100900051,1558
214,아름다운실버,37.6120100581,126.965463701,100900050,1561
215,독립문초등학교,37.5738474794,126.9607207234,100900049,1562
216,종로센트레빌아파트,37.580353440500005,127.01569269790001,100900206,1563
217,가회동주민센터,37.5799390098,126.9848497239,100900048,1564
218,문방구,37.6062686142,126.9579797248,100900097,1565
219,원남로터리,37.5762373738,126.997511497,100900096,1566
220,보현산신각,37.6134825236,126.96577905209999,100900095,1567
221,천사유치원,37.5746480221,126.9618603707,100900094,1568
222,쌍용아파트입구.창신역,37.580511226,127.01496357379999,100900093,1569
223,아름다운가게.정독도서관,37.5788991733,126.9850220301,100900092,1570
224,산정빌라,37.6051519935,126.95749220020001,100900091,1571
225,이화사거리,37.5764698644,127.0020107348,100900090,1572
226,혜원사,37.6143102577,126.96768734620001,100900089,1573
227,무악현대아파트후문,37.5763060751,126.962001046,100900088,1574
228,헌법재판소.안국역,37.5775584314,126.9856755706,100900086,1576
229,청구빌라,37.6046102563,126.9569839726,100900184,1577
230,서울대어린이병원응급실.갑상선센터,37.5781188768,126.99950296620001,100900085,1578
231,화인빌라,37.6129345305,126.9685386165,100900083,1580
232,넓은마당,37.5752728058,126.9628880463,100900082,1581
233,창신초등학교,37.5769032044,127.0153885503,100900207,1582
234,수운회관,37.5751598262,126.98651721799999,100900081,1583
235,상명대후문,37.6040255786,126.9573354115,100900080,1584
236,힐탑,37.6116055569,126.9690205751,100900079,1586
237,신학대학교총회본부,37.5739763092,126.96344456690001,100900187,1587
238,낙원상가,37.5736776169,126.9872918609,100900078,1589
239,완성빌라,37.6034020863,126.9575011241,100900077,1590
240,서울대병원장례식장,37.5805553988,126.99743096479999,100900076,1591
241,혜화역1번출구,37.5834542178,127.00194072149999,100900075,1592
242,파라과이대사관,37.6124059606,126.9699479367,100900074,1593
243,한국사회과학자료원,37.573633207600004,126.9641432573,100900073,1594
244,동묘역,37.5726943506,127.01424538190001,100900205,1595
245,금강제화,37.5705445369,126.9874384317,100900121,1596
246,경진빌라,37.6020037175,126.95783036120001,100900120,1597
247,성균관대학교앞,37.5833082555,126.99936592649999,100900198,1598
248,광화문한국통신,37.5719018726,126.977317218,100900176,1599
249,EN갤러리,37.6134063548,126.9707007997,100900119,1607
250,종로문화센터,37.574647081100004,126.9646261961,100900118,1667
251,동대문역.2번출구,37.5720494465,127.01172180020001,100900117,1682
252,종각역YMCA,37.5703393522,126.9850714936,100900116,1683
253,서교빌라,37.601989057,126.95715536549999,100900115,1684
254,경복궁역,37.5770722054,126.9724733176,100900177,1685
255,연건동,37.576125662399996,127.00074496469999,100900195,1686
256,성대입구,37.5832668015,126.99885300700001,100900199,1697
257,무애사,37.613900428200004,126.9718458037,100900114,1698
258,단군성전앞,37.5755600915,126.96531751190001,100900113,1699
259,동대문종합시장,37.571176058,127.00614000459998,100900192,1702
260,상명초등학교,37.6009238115,126.95671541799999,100900112,1714
261,법련사,37.5765879752,126.97966505389999,100900179,1720
262,광화문새마을금고,37.5794930902,126.9710277184,100900111,1721
263,성균관대학교,37.5850311082,126.9972179386,100900110,1722
264,제1놀이터,37.6145722576,126.9741212409,100900109,1723
265,활터앞,37.5768126115,126.9653293849,100900108,1724
266,종로5가.3번출구,37.5714192458,127.0020898456,100900107,1725
267,인사동들머리.3.1독립선언터,37.5719470235,126.983296967,100900106,1727
268,정독도서관,37.580191528,126.98020074940001,100900105,1728
